X,Y,treeID,dbh_cm_f,h_m_f,dbh_cm_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,cw_avg_m,cw_pi_m,icw_m,h_m_tls,dbh_cm_tls
753974.669353,3388851.73263,318,20.8,9.2,26.5,8.9,5.7,9.08,24.875,5.829,5.62777342075,5.72838671037,0.0,0.0
753809.3796599999,3388703.9168,351,66.0,12.6,75.0,13.2,17.7,13.474,212.375,17.0465,16.4439730088,16.7452365044,0.0,0.0
753746.5855809998,3388615.43157,356,54.1,10.7,63.0,10.1,11.9,10.39,78.25,10.6095,9.98153266666,10.2955163333,0.0,0.0
753783.5015709999,3388400.41556,386,27.900000000000002,9.9,26.0,8.3,7.9,8.813,87.625,10.8235,10.5625572239,10.6930286119,0.0,0.0
753836.0698929998,3388349.51418,395,69.1,14.5,78.0,14.2,16.2,14.344,170.375,15.063,14.7284821837,14.8957410918,14.016836,77.5604602874
753823.2768559998,3388185.90312,411,50.0,9.0,51.0,8.86,12.7,9.021,113.625,12.3685,12.0279608941,12.1982304471,7.8604162,55.1985054145
753773.456265,3388215.38064,404,86.4,12.9,92.5,12.2,18.3,12.493,130.625,13.4955,12.8963915702,13.1959457851,0.0,0.0
753828.631823,3388124.78269,424,33.5,10.1,41.0,9.0,8.7,9.122,121.625,13.807,12.444185776,13.125592888,0.0,0.0
753879.7933529998,3388346.68067,396,56.10000000000001,13.1,61.0,12.9,13.7,13.068,215.625,17.1585,16.5693173315,16.8639086658,9.1068013,26.5165042945
753864.535903,3388382.86093,392,86.9,15.0,86.5,12.8,16.2,13.46,126.375,13.78,12.6848589849,13.2324294924,0.0,0.0
753791.819578,3388521.85419,376,23.599999999999998,9.0,34.0,8.8,9.9,9.305,65.75,9.312,9.14961748197,9.23080874098,0.0,0.0
754074.6756929999,3388876.32427,310,49.8,10.0,52.0,9.2,13.7,9.562,121.375,12.839,12.4313896947,12.6351948474,8.4540066,53.764532919
754465.632251,3389198.93331,244,54.3317973614,10.8999996185,0.0,0.0,0.0,9.353,136.625,14.0695,13.1892514116,13.6293757058,8.349826,47.5985819116
754534.0178969998,3389238.97618,233,53.361600637399995,10.1000003815,0.0,0.0,0.0,9.626,149.25,13.976,13.7851732688,13.8805866344,8.6633804,52.29125165839999
754538.222057,3389255.71995,232,44.1446006298,9.0,0.0,0.0,0.0,11.5,168.75,15.208,14.6580753571,14.9330376785,7.2778598,44.1941738242
754544.216309,3389262.723,228,56.27220273020001,12.0,0.0,0.0,0.0,10.436,169.0,16.1335,14.6689291722,15.4012145861,8.940763,53.764532919
754855.342588,3389491.03829,218,19.4041803479,8.80000019073,0.0,0.0,0.0,8.223,23.375,5.6625,5.4554536345,5.55897681725,7.3989088,19.7642353761
754859.8048959998,3389500.80784,215,26.195600628799998,9.0,0.0,0.0,0.0,8.848,21.125,5.3035,5.18624964522,5.24487482261,0.0,0.0
754880.877706,3389565.69767,177,31.046599149800002,8.80000019073,0.0,0.0,0.0,8.116,53.0,8.4275,8.21472433323,8.32111216662,0.0,0.0
754623.7688609998,3389676.71916,125,63.0635976792,12.8999996185,0.0,0.0,0.0,15.095,313.375,21.1035,19.9750204588,20.5392602294,12.099736,64.3476883812
754614.7906299998,3389679.46019,125,85.3784024716,14.0,0.0,0.0,0.0,15.095,313.375,21.1035,19.9750204588,20.5392602294,14.1184492,77.5604602874
754578.922262,3389701.34134,114,67.4296021462,10.3999996185,0.0,0.0,0.0,10.973,151.375,14.2685,13.8829620789,14.0757310395,10.065317,63.737743919900005
