X,Y,dbh_m_f,h_m_f,dbh_m_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,MBG_Width,MBG_Length,treeID,cw_avg,cw_pi,icw
754251.089289,3389061.85854,0.325,7.7,0.424,6.98,9.0,7.522,61.25,8.321,9.657,262,8.989,8.83096382707056,8.90998191353528
754219.000144,3389035.23307,0.274,5.7,0.36,5.41,8.1,5.528,43.25,7.071,8.515,270,7.793,7.420755373261929,7.606877686630964
754182.715187,3389005.64246,0.315,6.2,0.35,6.19,9.6,6.588,58.25,7.647,9.823,276,8.735,8.611980229936854,8.673490114968427
754136.1227639999,3388966.80508,0.307,7.3,0.3,7.22,8.8,7.626,59.875,8.222,9.823,289,9.0225,8.731278127572038,8.87688906378602
754077.939157,3388918.52633,0.31,8.2,0.36,7.4,11.2,7.747,81.0,9.241,11.18,296,10.2105,10.155412503859614,10.182956251929806
754032.060587,3388881.23819,0.277,6.2,0.31,6.1,7.3,6.318000000000001,33.875,6.261,7.159,308,6.71,6.567418791116007,6.638709395558004
753974.669353,3388851.73263,0.208,9.2,0.265,8.9,5.7,9.08,24.875,4.95,6.708,318,5.829000000000001,5.627773420748846,5.728386710374423
754000.953666,3388874.87277,0.15,6.3,0.19,6.75,3.7,6.761,11.75,3.795,4.272,311,4.0335,3.8678889139475245,3.9506944569737623
753940.192522,3388819.45549,0.193,7.0,0.285,6.4,4.2,6.62,11.5,3.5,4.528,329,4.013999999999999,3.826519928662906,3.9202599643314526
753936.738705,3388801.79994,0.17,4.5,0.22,5.1,5.6,5.32,20.875,4.802,6.083,331,5.4425,5.15547044374677,5.2989852218733855
753891.204824,3388760.69559,0.203,5.9,0.29,5.37,7.2,5.908,29.625,5.982,6.801,339,6.391500000000001,6.141638341092643,6.2665691705463225
753809.3796599999,3388703.9168,0.66,12.6,0.75,13.2,17.7,13.474,212.375,15.708,18.385,351,17.0465,16.443973008769206,16.745236504384604
753746.5855809998,3388615.43157,0.541,10.7,0.63,10.1,11.9,10.39,78.25,9.126,12.093,356,10.6095,9.981532666656284,10.295516333328141
753752.1234639998,3388572.54384,0.188,5.6,0.21,5.5,5.9,5.553,21.375,4.85,5.852,365,5.351,5.216847253726536,5.2839236268632686
753753.827099,3388524.21893,0.183,6.4,0.27,6.4,8.5,6.514,52.375,7.5,8.902,375,8.201,8.166144815976763,8.183572407988382
753786.777325,3388441.736,0.345,8.3,0.4,7.5,11.2,7.603,82.75,9.5,11.236,379,10.368,10.264529815185629,10.316264907592814
753783.5015709999,3388400.41556,0.279,9.9,0.26,8.3,7.9,8.813,87.625,7.417,14.23,386,10.8235,10.562557223864808,10.693028611932403
753815.4402299998,3388385.91072,0.305,5.9,0.3,5.6,7.6,5.756,32.375,6.0,7.382,391,6.691,6.420368389804505,6.555684194902252
753836.0698929998,3388349.51418,0.691,14.5,0.78,14.2,16.2,14.344,170.375,12.279,17.847,395,15.063,14.728482183655359,14.89574109182768
753860.559567,3388285.32171,0.409,7.7,0.5,7.1,11.1,7.285,85.125,8.9,12.649,400,10.7745,10.410788454559084,10.592644227279543
753843.851074,3388219.30415,0.356,7.9,0.42,7.1,9.8,7.211,66.375,8.62,10.124,402,9.372,9.193001402251411,9.282500701125706
753823.2768559998,3388185.90312,0.5,9.0,0.51,8.86,12.7,9.021,113.625,11.228,13.509,411,12.368500000000001,12.027960894122199,12.1982304470611
753773.456265,3388215.38064,0.864,12.9,0.925,12.2,18.3,12.493,130.625,11.686,15.305,404,13.4955,12.896391570165301,13.19594578508265
753828.631823,3388124.78269,0.335,10.1,0.41,9.0,8.7,9.122,121.625,10.286,17.328,424,13.806999999999999,12.444185776032683,13.12559288801634
753885.3564199999,3388157.27081,0.259,7.1,0.24,6.75,7.8,7.133,42.625,7.071,8.246,418,7.6585,7.366942078931822,7.5127210394659105
753899.751976,3388167.55201,0.226,7.2,0.31,6.7,6.5,6.996,29.75,4.95,7.28,414,6.115,6.154581744998688,6.1347908724993445
753879.7933529998,3388346.68067,0.561,13.1,0.61,12.9,13.7,13.068,215.625,15.763,18.554,396,17.1585,16.569317331547474,16.863908665773735
753864.535903,3388382.86093,0.869,15.0,0.865,12.8,16.2,13.46,126.375,11.0,16.56,392,13.78,12.684858984864837,13.232429492432418
753791.819578,3388521.85419,0.236,9.0,0.34,8.8,9.9,9.305,65.75,8.5,10.124,376,9.312000000000001,9.149617481968136,9.230808740984068
753786.4721679998,3388570.20833,0.102,4.5,0.17,5.2,4.4,5.499000000000001,11.125,3.5,4.243,366,3.8715,3.763613946086751,3.8175569730433754
753802.774539,3388620.07586,0.089,5.0,0.12,5.4,3.2,5.597,6.0,2.5,3.354,355,2.927,2.763953195770684,2.845476597885342
753880.4900269998,3388706.02825,0.274,6.9,0.36,6.2,6.9,6.3,35.0,6.364,7.28,350,6.822,6.6755811781245455,6.748790589062272
753901.632646,3388727.19628,0.249,5.6,0.29,5.3,7.2,5.56,34.375,6.314,7.159,343,6.7364999999999995,6.615709285501534,6.676104642750767
753934.9502439998,3388758.17068,0.203,5.1,0.25,4.7,6.0,5.199,25.875,5.376,6.727,338,6.051500000000001,5.739779892994359,5.89563994649718
753969.025364,3388787.24635,0.249,5.9,0.3,5.7,6.8,5.884,30.375,5.9,6.964,334,6.432,6.2188946904840385,6.3254473452420195
753979.0562249998,3388796.77193,0.315,7.7,0.367,6.7,10.0,7.142,54.25,6.914,10.296,332,8.605,8.311031542587394,8.458015771293697
754014.24104,3388826.03309,0.262,7.3,0.334,6.5,8.6,6.805,45.125,6.637,8.746,326,7.6915,7.579903327627221,7.63570166381361
754049.171575,3388854.87212,0.302,7.3,0.41,6.7,10.7,7.045,61.0,7.425,10.548,316,8.9865,8.812923024107548,8.899711512053774
754074.6756929999,3388876.32427,0.498,10.0,0.52,9.2,13.7,9.562,121.375,12.021,13.657,310,12.839,12.431389694729644,12.635194847364822
754120.180025,3388913.13075,0.287,8.5,0.39,8.3,10.9,8.347,67.125,8.485,10.7,297,9.5925,9.244793369261846,9.418646684630922
754143.110047,3388932.49914,0.239,6.2,0.24,6.2,7.7,6.29,41.0,7.35,7.906,293,7.628,7.225151993843567,7.426575996921784
754166.4866039999,3388952.33866,0.201,5.3,0.265,5.2,4.6,5.433,20.125,4.576,5.852,291,5.214,5.062010059037334,5.138005029518667
754191.0272369998,3388971.37408,0.254,6.4,0.325,5.7,8.1,5.752,34.0,5.544,7.762,288,6.653,6.579524642479541,6.61626232123977
754213.8202469999,3388990.63422,0.33,6.8,0.37,6.7,8.7,6.972,50.625,7.48,8.846,279,8.163,8.02855852268747,8.095779261343736
754238.805132,3389010.69562,0.241,5.9,0.275,6.1,6.5,6.205,33.375,6.2,7.382,275,6.791,6.5187705746970455,6.654885287348523
754260.634312,3389029.61704,0.279,6.3,0.342,6.2,8.6,6.483000000000001,42.75,6.791,8.382,271,7.5865,7.377736139048903,7.482118069524452
754272.515149,3389039.47883,0.315,6.3,0.344,6.4,9.0,6.631,59.125,7.826,9.708,269,8.767,8.676421386866044,8.721710693433021
754284.927807,3389048.50184,0.427,7.7,0.53,7.7,11.2,7.878,93.0,10.286,11.705,267,10.9955,10.881694613449236,10.938597306724617
754298.129954,3389053.77262,0.206,6.5,0.285,6.0,5.4,6.475000000000001,18.625,4.0,5.701,265,4.8505,4.869711133187717,4.860105566593859
754292.793679,3389055.00143,0.201,6.2,0.252,6.6,5.7,7.038,22.5,5.218,5.852,264,5.535,5.352372348458314,5.443686174229157
754319.151867,3389078.00047,0.458424001932,7.90000009537,0.0,0.0,0.0,7.356,47.625,5.551,10.966,256,8.2585,7.787042655463763,8.022771327731881
754330.605529,3389086.53218,0.329872012138,5.90000009537,0.0,0.0,0.0,6.353,52.25,7.778,8.86,255,8.318999999999999,8.156394191823509,8.237697095911754
754364.169463,3389115.8538,0.538465976716,8.39999961853,0.0,0.0,0.0,8.395,127.25,11.311,14.396,252,12.8535,12.728697186576065,12.791098593288034
