"","X","Y","H","DBH"
"1",753858.194836075,3388216.43274496,9.2061875,0.265165042944955
"2",753841.604340318,3388218.61627206,5.051006,0.423895623945329
"3",753839.180690214,3388176.70258301,3.09965349999999,0.197642353760524
"4",753835.917843066,3388187.55187457,9.223414,0.25
"5",753833.189031008,3388195.75096428,7.9563296,0.433012701892219
"6",753823.236576674,3388187.09350958,7.8604162,0.55198505414549
"7",753803.512976662,3388182.2547387,0.960296000000002,0.153093108923949
"8",753824.413901118,3388197.55406611,8.596147,0.414578098794425
"9",753814.844752953,3388140.30737962,2.8056478,0.176776695296637
"10",753826.324507776,3388179.31507998,3.30997980000001,0.125
"11",753814.937224119,3388171.63579222,1.8925872,0.423895623945329
"12",753821.186744035,3388163.25021446,2.26598079999999,0.265165042944955
"13",753812.128297902,3388190.65507596,1.68159249999999,0.293150984988964
"14",753897.144623748,3388351.96684592,15.350525,0.667317390751957
"15",753877.959528997,3388329.7694843,9.328092,0.265165042944955
"16",753869.275559247,3388361.26517808,5.2045796,0.59947894041409
"17",753869.569564223,3388285.86859748,9.2594696,0.25
"18",753793.934418687,3388427.31668498,6.72772699999999,0.441941738241592
"19",753791.53017343,3388435.25023573,1.69490759999999,0.5
"20",753838.852446287,3388357.06916017,9.2614952,0.233853586673371
"21",753806.597397854,3388386.03999359,5.119734,0.55198505414549
"22",753794.412283829,3388418.13908008,4.06659239999999,0.364434493427831
"23",753861.096243395,3388286.52741189,4.6872852,0.433012701892219
"24",753858.989102478,3388296.52349942,7.75357200000001,0.405046293650491
"25",753857.026637528,3388305.16264847,6.49731799999999,0.405046293650491
"26",753864.341628935,3388267.62476597,6.43230099999999,0.450693909432999
"27",753835.931994476,3388348.04195592,14.016836,0.775604602874429
"28",753819.037122493,3388394.91542553,9.1928695,0.233853586673371
"29",753786.232902241,3388441.2136367,7.06723079999999,0.414578098794425
"30",753799.227943799,3388432.80044365,9.2932668,0.25
"31",753863.481502883,3388356.77065153,3.2556546,0.0883883476483184
"32",753807.744080779,3388404.56818325,9.2855626,0.233853586673371
"33",753851.331534432,3388401.15761049,14.6373076,0.579601155968481
"34",753766.581399278,3388455.19271377,12.088355,0.592927061281571
"35",753858.348429365,3388367.25353401,9.2774767,0.233853586673371
"36",753858.016515848,3388392.69388361,7.969825,0.385275875185561
"37",753899.383584059,3388341.44237145,9.182319,0.306186217847897
"38",753881.436749278,3388342.82412245,9.1068013,0.265165042944955
"39",753857.693194343,3388394.59674086,8.5473545,0.579601155968481
"40",753785.975704184,3388511.89820888,9.2364572,0.25
"41",753788.670262656,3388581.67559211,5.96265,0.153093108923949
"42",753817.277753648,3388636.9759337,2.0160176,0.530330085889911
"43",753809.388475902,3388629.017506,4.4920237,0.405046293650491
"44",753809.103412899,3388630.6465399,5.0555312,0.586301969977929
"45",753753.357743785,3388508.22363392,2.6414827,0.395284707521047
"46",753757.231866877,3388591.62714492,4.21440279999999,0.433012701892219
"47",753757.449420755,3388506.50514719,3.1453724,0.592927061281571
"48",753784.844594163,3388549.85061403,5.2013828,0.5
"49",753754.172153645,3388560.50967253,3.89397579999999,0.537645329190164
