X,Y,treeID,dbh_cm_f,h_m_f,dbh_cm_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,cw_avg_m,cw_pi_m,icw_m,h_m_tls,dbh_cm_tls
754251.089289,3389061.85854,262,32.5,7.7,42.4,6.98,9.0,7.522,61.25,8.989,8.83096382707,8.90998191354,6.4858283,37.5
754077.939157,3388918.52633,296,31.0,8.2,36.0,7.4,11.2,7.747,81.0,10.2105,10.1554125039,10.1829562519,7.0849085,37.5
754032.060587,3388881.23819,308,27.700000000000003,6.2,31.0,6.1,7.3,6.318,33.875,6.71,6.56741879112,6.63870939556,6.3051416,31.86887196
753891.204824,3388760.69559,339,20.3,5.9,28.999999999999996,5.37,7.2,5.908,29.625,6.3915,6.14163834109,6.26656917055,5.147073,26.5165042945
753786.777325,3388441.736,379,34.5,8.3,40.0,7.5,11.2,7.603,82.75,10.368,10.2645298152,10.3162649076,7.0672308,41.457809879399996
753836.0698929998,3388349.51418,395,69.1,14.5,78.0,14.2,16.2,14.344,170.375,15.063,14.7284821837,14.8957410918,14.016836,77.5604602874
753860.559567,3388285.32171,400,40.9,7.7,50.0,7.1,11.1,7.285,85.125,10.7745,10.4107884546,10.5926442273,4.6872852,43.3012701892
753843.851074,3388219.30415,402,35.6,7.9,42.0,7.1,9.8,7.211,66.375,9.372,9.19300140225,9.28250070113,5.051006,42.389562394500004
753823.2768559998,3388185.90312,411,50.0,9.0,51.0,8.86,12.7,9.021,113.625,12.3685,12.0279608941,12.1982304471,7.8604162,55.1985054145
753880.4900269998,3388706.02825,350,27.400000000000002,6.9,36.0,6.2,6.9,6.3,35.0,6.822,6.67558117812,6.74879058906,6.1122896,27.9508497187
753969.025364,3388787.24635,334,24.9,5.9,30.0,5.7,6.8,5.884,30.375,6.432,6.21889469048,6.32544734524,5.631114,29.3150984989
753979.0562249998,3388796.77193,332,31.5,7.7,36.7,6.7,10.0,7.142,54.25,8.605,8.31103154259,8.45801577129,6.612526,39.5284707521
754014.24104,3388826.03309,326,26.200000000000003,7.3,33.4,6.5,8.6,6.805,45.125,7.6915,7.57990332763,7.63570166381,6.4810964,34.2326598441
754049.171575,3388854.87212,316,30.2,7.3,41.0,6.7,10.7,7.045,61.0,8.9865,8.81292302411,8.89971151205,5.7932866,38.5275875186
754074.6756929999,3388876.32427,310,49.8,10.0,52.0,9.2,13.7,9.562,121.375,12.839,12.4313896947,12.6351948474,8.4540066,53.764532919
754191.0272369998,3388971.37408,288,25.4,6.4,32.5,5.7,8.1,5.752,34.0,6.653,6.57952464248,6.61626232124,5.6906005,26.5165042945
754213.8202469999,3388990.63422,279,33.0,6.8,37.0,6.7,8.7,6.972,50.625,8.163,8.02855852269,8.09577926134,5.6864948,31.86887196
754238.805132,3389010.69562,275,24.099999999999998,5.9,27.500000000000004,6.1,6.5,6.205,33.375,6.791,6.5187705747,6.65488528735,5.869409,29.3150984989
754364.169463,3389115.8538,252,53.84659767160001,8.39999961853,0.0,0.0,0.0,8.395,127.25,12.8535,12.7286971866,12.7910985933,6.6793628,59.2927061282
754411.469086,3389154.18667,248,41.7189985514,7.09999990463,0.0,0.0,0.0,6.954,87.75,10.862,10.5700884599,10.71604423,6.0485418,41.457809879399996
754465.632251,3389198.93331,244,54.3317973614,10.8999996185,0.0,0.0,0.0,9.353,136.625,14.0695,13.1892514116,13.6293757058,8.349826,47.5985819116
754481.1651889998,3389214.44573,241,37.838199734599996,8.39999961853,0.0,0.0,0.0,7.847,161.0,16.3015,14.3175265567,15.3095132784,6.8742168,33.0718913883
754534.0178969998,3389238.97618,233,53.361600637399995,10.1000003815,0.0,0.0,0.0,9.626,149.25,13.976,13.7851732688,13.8805866344,8.6633804,52.29125165839999
754538.222057,3389255.71995,232,44.1446006298,9.0,0.0,0.0,0.0,11.5,168.75,15.208,14.6580753571,14.9330376785,7.2778598,44.1941738242
754544.216309,3389262.723,228,56.27220273020001,12.0,0.0,0.0,0.0,10.436,169.0,16.1335,14.6689291722,15.4012145861,8.940763,53.764532919
754842.184747,3389478.1938,224,17.463760078,6.30000019073,0.0,0.0,0.0,6.677,24.5,5.904,5.58519192562,5.74459596281,6.5666916,26.5165042945
754855.342588,3389491.03829,218,19.4041803479,8.80000019073,0.0,0.0,0.0,8.223,23.375,5.6625,5.4554536345,5.55897681725,7.3989088,19.7642353761
754859.2041119998,3389493.15464,217,21.829800307800003,6.90000009537,0.0,0.0,0.0,7.302,25.625,6.004,5.71198418536,5.85799209268,7.2928582,23.3853586673
754886.66778,3389516.71877,204,18.9190804958,7.0,0.0,0.0,0.0,7.0,22.25,5.6685,5.32255388609,5.49552694305,6.152415,23.3853586673
